Id,Label,Name,theme,Type,Field 1,Field 2,Issues 1,Issues 2,Issues 3,Nodes
Open Gov/Data Transparency Governance,Open Gov/Data Transparency Governance,,information governance,issue,web,,information transparency,community,accountability,Open Gov/Data Transparency Governance
"Glass House, film by Sergueï Eisenstein","Glass House, film by Sergueï Eisenstein",,information governance,art work,cinema,architecture,information transparency,community,security,"Glass House, film by Sergueï Eisenstein"
Glass Architecture of Paul Scheerbart,Glass Architecture of Paul Scheerbart,,information governance,art work,architecture,design,information transparency,community,security,Glass Architecture of Paul Scheerbart
Glass Architecture of Bruno Taut,Glass Architecture of Bruno Taut,,information governance,art work,architecture,design,information transparency,community,security,Glass Architecture of Bruno Taut
"Hiding the system thanks to GUI, resources are shadows. ","Hiding the system thanks to GUI, resources are shadows. ",,information governance,issue,web,,GUI,,,"Hiding the system thanks to GUI, resources are shadows. "
"Lack of platforms transparency, filters failure","Lack of platforms transparency, filters failure",,information governance,issue,web,,information transparency,GUI,,"Lack of platforms transparency, filters failure"
"Self-documentation and quantification, truth of the digital identity ","Self-documentation and quantification, truth of the digital identity ",,digital identity,issue,digital,web,digital identity,information transparency,privacy,"Self-documentation and quantification, truth of the digital identity "
"Opacity and secrecy of online identity VS  disclosure of intimacy and transparency. ","Opacity and secrecy of online identity VS  disclosure of intimacy and transparency. ",,digital identity,issue,digital,web,digital identity,information transparency,privacy,"Opacity and secrecy of online identity VS  disclosure of intimacy and transparency. "
Walter Benjamin and the glass house : revealing intimacy as a modern value.,Walter Benjamin and the glass house : revealing intimacy as a modern value.,,,intellectual work,architecture,,privacy,information transparency,,Walter Benjamin and the glass house : revealing intimacy as a modern value.
"Histoire(s) du Cinéma films, Jean-Luc Godard","Histoire(s) du Cinéma films, Jean-Luc Godard",,formal transparency,art work,cinema,,editing,,,"Histoire(s) du Cinéma films, Jean-Luc Godard"
"Jean-Luc Godard’s wish to see with the eyes of the animals and the child, first vision.","Jean-Luc Godard’s wish to see with the eyes of the animals and the child, first vision.",,formal transparency,art work,cinema,,vision,,,"Jean-Luc Godard’s wish to see with the eyes of the animals and the child, first vision."
Transparency in graphical compositing softwares,Transparency in graphical compositing softwares,,formal transparency,software functionnality,software,,vision,editing,,Transparency in graphical compositing softwares
"Transparent paintings/sculptures/photos László Moholy-Nagy, Man Ray.","Transparent paintings/sculptures/photos László Moholy-Nagy, Man Ray.",,formal transparency,art work,beaux arts,,vision,,,"Transparent paintings/sculptures/photos László Moholy-Nagy, Man Ray."
"Goethe's Theories of Colors, 1810","Goethe's Theories of Colors, 1810",,formal transparency,intellectual work,beaux arts,,color,vision,childhood,"Goethe's Theories of Colors, 1810"
"Walter Benjamin on calks, and colors in child’s books.","Walter Benjamin on calks, and colors in child’s books.",,formal transparency,intellectual work,beaux arts,,color,vision,childhood,"Walter Benjamin on calks, and colors in child’s books."
Feedbacks and accountability thanks to GUI,Feedbacks and accountability thanks to GUI,,democracy by transparency,interface issues and effects,GUI,,GUI,,,Feedbacks and accountability thanks to GUI
Free information anywhere,Free information anywhere,,democracy by transparency,interface issues and effects,digital,,digital,,,Free information anywhere
Platforms as glass cage and walled gardens,Platforms as glass cage and walled gardens,,quest of identity,interface issues and effects,digital,web,serendipity,,,Platforms as glass cage and walled gardens
Interfaces for connectivity and birth of communities,Interfaces for connectivity and birth of communities,,community,interface issues and effects,digital,web,GUI,,,Interfaces for connectivity and birth of communities
Open systems and commons,Open systems and commons,,community,interface issues and effects,digital,web,software,information transparency,,Open systems and commons
The viewer/user has a role in the way the message is construct,The viewer/user has a role in the way the message is construct,,participation,interface issues and effects,cinema,digital,participation,,,The viewer/user has a role in the way the message is construct
"Renewal, blurred and first vision","Renewal, blurred and first vision",,childhood,interface issues and effects,cinema,photography,vision,,,"Renewal, blurred and first vision"
GUI affordances,GUI affordances,,image to read,interface issues and effects,GUI,digital,GUI,,,GUI affordances
Wikipedia history page,Wikipedia history page,,wikipedia examples,web page,web,digital,wikipedia,,,Wikipedia history page
Wikipedia talk page,Wikipedia talk page,,wikipedia examples,web page,web,digital,wikipedia,,,Wikipedia talk page
CC Licence,CC Licence,,"copyright ",law,web page,,law,,,CC Licence
Source Code page,Source Code page,,wikipedia examples,web page,web page,,,,,Source Code page
MediaWiki logo,MediaWiki logo,,wikipedia examples,software functionnality,,digital,,,,MediaWiki logo
Semantic web item page,Semantic web item page,,wikipedia examples,web page,web page,,,,,Semantic web item page
Technical contribution guide page,Technical contribution guide page,,wikipedia examples,web page,web page,,,,,Technical contribution guide page
Data feed,Data feed,,wikipedia examples,web page,web page,,,,,Data feed
Wikipedia Edit Page,Wikipedia Edit Page,,wikipedia examples,web page,web page,,,,,Wikipedia Edit Page
Wikipedia minimalist design,Wikipedia minimalist design,,wikipedia examples,web page,web page,,,,,Wikipedia minimalist design
"GAFA ","GAFA ",,,compagny,,,,,,
Infinite modularity of the image,Infinite modularity of the image,,,interface issues and effects,,,,,,
"Crisis of disclosure, radical transparency and leaks","Crisis of disclosure, radical transparency and leaks",,,issue,,,,,,
